,FPGA_metrics,FPGA throughput metrics
fold_input[ms],0.07033348083496094,0.05936622619628906
pack_input[ms],168116.02544784546,0.05030632019042969
copy_input_data_to_device[ms],0.4425048828125,0.31447410583496094
runtime[ms],5.337238311767578,5.345344543457031
copy_output_data_from_device[ms],0.202178955078125,0.2009868621826172
unpack_output[ms],0.202178955078125,110492.33651161194
unfold_output[ms],0.202178955078125,0.055789947509765625
throughput[images/s],4946.11320754717,187.07867975022302
DRAM_in_bandwidth[MB/s],,28.160579505441568
DRAM_out_bandwidth[MB/s],,37.54743934058876
fclk[mhz],,99.999
batch_size,,1.0
